acces;typeMaison;type;toilette;nbChambres;latitude;longitude;loyer
2;3;1;Oui;2;-18.8792;47.5079;800000
1;2;0;Non;1;-18.9000;47.5200;450000
3;4;1;Oui;3;-18.8500;47.4800;1200000
0;1;0;Aucune;1;-19.8739;47.0319;250000
2;5;1;Oui;4;-18.1492;49.4042;1500000
0;2;1;Oui;1;-15.6915;46.3406;10000
0;2;1;Oui;1;-18.1623;49.4015;3750000
3;4;1;Non;2;-18.1552;49.4041;250000
3;4;1;Non;2;-18.1426;49.3843;350000
0;3;1;Oui;2;-18.9414;47.5374;800000
2;3;1;Non;2;-18.8711;47.5473;500000
2;4;1;Oui;3;-18.9210;47.5586;600000
3;5;1;Oui;4;-18.9125;47.5478;1400000
0;3;0;Oui;2;-18.9064;47.5203;800000
0;4;0;Oui;3;-18.9057;47.5446;4200000
1;2;1;Oui;1;-18.9104;47.5396;250000
3;2;1;Oui;1;-18.9042;47.5098;130000
2;1;1;Non;1;-18.8880;47.5348;200000
4;5;0;Oui;3;-21.4423;47.0897;900000
0;2;0;Oui;2;-21.4423;47.0897;300000
0;1;1;Oui;1;-18.8135;47.4712;450000
4;2;1;Oui;2;-15.6867;46.3532;560000
3;2;1;Oui;2;-23.3718;43.6913;300000
4;3;1;Oui;2;-23.3628;43.6915;300000
