id,ville,type_acces,type_papier,taille_km2,prete_a_batir,prix
1,Tulear,Acces vehicule,Borné,1.996,true,120000000
2,Majunga,Acces vehicule,Cadastre,1.768,true,140000000
3,Antananarivo,Acces vehicule,Borné,1.154,true,250000000
4,Diego,Acces moto,Sans papier,2.299,false,60000000
5,Tulear,Acces vehicule,Cadastre,1.975,true,110000000
6,Antananarivo,Acces vehicule,Borné,0.277,true,80000000
7,Tulear,Aucun,Borné,0.132,false,8000000
8,Diego,Acces vehicule,Certificat foncier,0.84,true,90000000
9,Antananarivo,Acces moto,Cadastre,0.13,true,20000000
10,Tulear,Acces moto,Sans papier,0.964,true,18000000
11,Majunga,Acces vehicule,Borné,0.298,true,25000000
12,Antananarivo,Acces vehicule,Certificat foncier,1.715,true,400000000
13,Antananarivo,Acces vehicule,Certificat foncier,2.26,true,500000000
14,Fianarantsoa,Acces moto,Borné,0.088,true,4000000
15,Majunga,Acces vehicule,Cadastre,2.031,true,150000000
16,Tamatave,Acces vehicule,Cadastre,1.02,true,90000000
17,Diego,Acces vehicule,Borné,0.663,true,35000000
18,Majunga,Acces vehicule,Cadastre,2.041,true,155000000
19,Tulear,Acces moto,Borné,0.253,false,10000000
20,Majunga,Acces vehicule,Certificat foncier,2.156,false,200000000
21,Antananarivo,Aucun,Sans papier,0.155,false,6000000
22,Antananarivo,Aucun,Sans papier,0.12,false,5000000
23,Fianarantsoa,Acces moto,Borné,0.081,false,3000000
24,Tulear,Acces moto,Cadastre,0.224,false,7000000
25,Tulear,Acces vehicule,Certificat foncier,2.443,true,180000000
26,Tulear,Acces moto,Sans papier,2.337,true,40000000
27,Majunga,Acces moto,Borné,0.167,false,3000000
28,Fianarantsoa,Acces vehicule,Cadastre,0.284,true,6000000
29,Fianarantsoa,Acces moto,Borné,0.996,false,7000000
30,Diego,Acces vehicule,Certificat foncier,1.674,true,67000000
31,Majunga,Acces vehicule,Borné,1.049,true,18000000
32,Diego,Acces vehicule,Sans papier,0.521,true,2500000
33,Tulear,Acces vehicule,Cadastre,1.43,true,9000000
34,Diego,Acces vehicule,Cadastre,1.895,true,12000000
35,Tulear,Aucun,Sans papier,0.19,false,800000
36,Fianarantsoa,Acces vehicule,Cadastre,1.119,false,4000000
37,Diego,Acces vehicule,Borné,0.921,true,9000000
38,Diego,Acces vehicule,Borné,1.963,true,18000000
39,Tulear,Acces moto,Sans papier,2.017,false,2000000
40,Fianarantsoa,Acces moto,Borné,0.577,true,4000000
41,Diego,Acces vehicule,Borné,1.06,true,10000000
42,Diego,Acces vehicule,Borné,1.696,true,16000000
43,Diego,Aucun,Borné,0.041,false,400000
44,Antananarivo,Acces moto,Sans papier,1.521,true,6000000
45,Majunga,Acces vehicule,Borné,1.294,true,12000000
46,Diego,Acces moto,Sans papier,0.133,true,300000
47,Tulear,Acces vehicule,Borné,0.783,true,4000000
48,Majunga,Acces vehicule,Certificat foncier,2.383,true,40000000
49,Majunga,Acces moto,Sans papier,0.555,false,800000
50,Antananarivo,Acces moto,Sans papier,0.238,true,500000
51,Fianarantsoa,Acces vehicule,Borné,1.762,true,9000000
52,Antananarivo,Acces vehicule,Borné,1.773,true,25000000
53,Tulear,Acces vehicule,Borné,1.687,true,8000000
54,Fianarantsoa,Acces vehicule,Borné,0.818,true,4000000
55,Tamatave,Acces vehicule,Borné,2.157,true,12000000
56,Diego,Acces vehicule,Cadastre,0.627,true,3000000
57,Antananarivo,Acces moto,Borné,0.067,true,500000
58,Diego,Acces vehicule,Cadastre,2.019,true,90000000
59,Antananarivo,Acces vehicule,Borné,0.721,true,12000000
60,Diego,Acces vehicule,Borné,0.617,true,8000000
61,Diego,Acces vehicule,Cadastre,0.255,false,3000000
62,Tulear,Aucun,Sans papier,2.256,false,8000000
